Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
3;1062463;2НДФЛ;Покупка недвижимости/ строительство;0;;мужской;0;0;высшее;другое;;0;80;25;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1062483;2НДФЛ;Ремонт;0;0.3;мужской;2;0;высшее;менеджер среднего звена;>250;0;92;40;Другое;ООО;женат / замужем;4;4;3;2;0;0.02;1;0;0;0;0.4;3;2;98;5;2;0;8;84;1;0;0;0;0;0;0
3;1062503;Поступление зарплаты на счет;Другое;1;0.59;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;64;45;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0.2784810127;0;0;0;0;0.2727272727;3;8;171;11;2;3;21;81;1;1;1;1;0;0;0
3;1062523;Поступление зарплаты на счет;Покупка мебели;1;0.26;мужской;0;0;высшее;менеджер среднего звена;>250;0;17;39;Торговля;ЗАО;гражданский брак;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
3;1062543;Поступление зарплаты на счет;Ремонт;0;0.33;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;83;30;Другое;ООО;женат / замужем;2;1;0;0;0;0.0209059233;1;0;0;0;0.1818181818;2;9;281;11;1;3;12;100;1;0;0;0;0;0;0
3;1062563;Поступление зарплаты на счет;Ремонт;1;0.3;женский;1;0;высшее;специалист;>250;0;39;34;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1062583;Поступление зарплаты на счет;Покупка бытовой техники;0;0.35;мужской;0;0;среднее-специальное;специалист;>250;0;73;25;Торговля;ООО;холост / не замужем;1;1;0;0;0;0;0;2;2;2;0.4285714286;3;4;49;7;1;1;1;64;0;0;0;0;0;0;0
3;1062603;Форма банка (без печати работодателя);Покупка автомобиля;1;0.43;мужской;0;0;среднее-специальное;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1062623;2НДФЛ;Обучение;1;0.44;женский;0;0;высшее;специалист;>250;3;14;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1062643;Свободная форма с печатью работодателя;Ремонт;0;0.4;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;7;41;Другое;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
3;1062663;Поступление зарплаты на счет;Покупка автомобиля;0;0.21;женский;0;0;высшее;специалист;>250;0;39;30;Информационные технологии;ЗАО;женат / замужем;0;0;0;0;0;0.0384615385;0;0;0;0;0;0;4;25;4;0;2;18;63;1;0;0;0;0;0;0
3;1062683;Форма банка (без печати работодателя);Ремонт;0;0.34;женский;0;0;высшее;рабочий;< 50;0;156;50;Другое;ЗАО;женат / замужем;1;0;0;0;0;0;0;1;1;0;0.4;4;6;131;10;2;2;2;93;0;0;0;0;0;0;0
